1	24	40	20	0.3
0	20	40	25	0.3
9	20	40	25	0.32
10	24	40	20	0.3
11	28	30	28	0.3
12	32	30	12	0.32
13	36	30	6	0.32
14	40	25	12	0.33
2	28	30	28	0.34
3	32	30	12	0.35
4	36	30	6	0.31
5	40	25	12	0.32
6	44	20	17	0.39
7	48	15	4	0.37
8	52	15	1	0.36
22	36	30	6	0.32
23	40	25	12	0.33
24	44	20	17	0.34
25	48	15	4	0.36
26	52	15	1	0.31
27	20	20	20	0.39
28	24	15	14	0.38
15	44	20	17	0.37
16	48	15	4	0.34
17	52	15	1	0.32
18	20	40	25	0.35
19	24	40	20	0.37
20	28	30	28	0.31
21	32	30	12	0.29
29	28	15	14.5	0.24
30	32	40	39	0.22
31	36	40	1	0.27
32	40	20	19	0.28
33	44	15	10	0.30
34	48	15	9	0.31
40	36	40	22	0.32
41	40	40	0.025	0.35
42	44	20	13	0.27
43	48	15	12.5	0.19
44	52	15	9.1	0.22
45	20	40	40	0.18
35	52	40	39	0.42
36	20	40	39	0.41
37	24	20	19	0.19
38	28	15	5	0.32
39	32	15	0	0.34
46	24	40	3	0.36
47	28	20	10	0.33
51	44	40	33.5	0.32
52	48	20	18	0.35
53	52	15	15	0.37
48	32	15	14	0.38
49	36	15	8	0.31
50	40	40	40	0.33
